GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
menu,com.vsu,MenuItem,21,0,0,0,8,0,4,0,4,0
menu,com.vsu,Menu,72,36,10,4,20,10,10,2,3,2
